Tahun	Bulan	Jenis Ikan	Volume Produksi (kg)
2020	November	Siro/Lemuru (Spotted sardinella)	631
2020	November	Selar (Trevallies)	3.883
2020	November	Tembang (Fringescale sardinella)	13.375
2020	November	Selanget (Chacunda gizzard shad)	2.122
2020	November	Tetengkek (Torpedo scad)	3.017
2020	November	Semar (Mene maculata)	479
2020	November	Tongkol (Frigate tuna)	4.844
2020	November	Layaran (Indo-pacific sailfish)	186
2020	November	Tenggiri (Narrow barred king mackerel)	4.453
2020	November	Cucut (Sharks)	66
2020	November	Manyung (Sea-cat fishes)	1.345
2020	November	Sebelah (Croaker)	1.334
2020	November	Kuwe (Great trevally)	524
2020	November	Bawal Hitam (Black pomfret)	-
2020	November	Bawal Putih (White pomfret)	-
2020	November	Golok-Golok (Dorab Wolf Hering)	595
2020	November	Beloso (Lizard fishes)	1.535
2020	November	Gerot-gerot (Saddle grunt)	22
2020	November	Peperek (Pony fishes)	49.740
2020	November	Kakap Putih (Giant Perach)	103
2020	November	Kakap Merah (Red Snapper)	90
2020	November	Jenaha (Snapper)	55
2020	November	Kurisi (Threadfin bream)	1.183
2020	November	Kuniran (Sulphur goatfish)	16.974
2020	November	Kuro (Giant threadfish)	486
2020	November	Samgeh (Croackers)	8.486
2020	November	Alu-alu (Barracuda)	651
2020	November	Kerong-Kerong (Jarbua terapon)	0
2020	November	Layur (Hairtail fishes)	23
2020	November	Pari (Rays)	1.711
2020	November	Ekor Kuning (Yellow tail)	60
2020	November	Kerapu (Grouper)	103
2020	November	Beronang (Spotted spinefoot)	26
2020	November	" Udang 
Jerbung"	786
2020	November	Udang Krosok (Tiger cat shrimp)	2.757
2020	November	Rajungan (Swimming crabs)	6.414
2020	November	Cumi-cumi (Common squids)	50.423
2020	November	Sotong (Cuttle fish)	2.433
2020	November	Gurita (Octopuses)	151
2020	November	Udang lainnya (Other shrimps)	7.824
2020	November	Ikan Lainnya (Others)	649
2020	Desember	Teri (Anchovy)	4.696
2020	Desember	Teri Nasi (Anchovies)	-
2020	Desember	Belanak (Mullets)	952
2020	Desember	Bentong (Oxeye scad)	37
2020	Desember	Cendro (Needle fish)	35
2020	Desember	Talang-Talang (Queen fish)	158
2020	Desember	Ikan Terbang (Flying fish)	-
2020	Desember	Japuh (Rainbow sardine)	46
2020	Desember	Kembung (Indian mackerels)	14.428
2020	Desember	Layang (Scads)	95
2020	Desember	Siro/Lemuru (Spotted sardinella)	-
2020	Desember	Selar (Trevallies)	99
2020	Desember	Tembang (Fringescale sardinella)	7.310
2020	Desember	Selanget (Chacunda gizzard shad)	4.211
2020	Desember	Tetengkek (Torpedo scad)	50
2020	Desember	Semar (Mene maculata)	4
2020	Desember	Tongkol (Frigate tuna)	531
2020	Desember	Layaran (Indo-pacific sailfish)	-
2020	Desember	Tenggiri (Narrow barred king mackerel)	3.355
2020	Desember	Cucut (Sharks)	133
2020	Desember	Manyung (Sea-cat fishes)	352
2020	Desember	Sebelah (Croaker)	885
2020	Desember	Kuwe (Great trevally)	383
2020	Desember	Bawal Hitam (Black pomfret)	-
2020	Desember	Bawal Putih (White pomfret)	3
2020	Desember	Golok-Golok (Dorab Wolf Hering)	315
2020	Desember	Beloso (Lizard fishes)	2.213
2020	Desember	Gerot-gerot (Saddle grunt)	89
2020	Desember	Peperek (Pony fishes)	66.568
2020	Desember	Kakap Putih (Giant Perach)	16
2020	Desember	Kakap Merah (Red Snapper)	24
2020	Desember	Jenaha (Snapper)	301
2020	Desember	Kurisi (Threadfin bream)	1.269
2020	Desember	Kuniran (Sulphur goatfish)	17.152
2020	Desember	Kuro (Giant threadfish)	1.485
2020	Desember	Samgeh (Croackers)	9.862
2020	Desember	Alu-alu (Barracuda)	180
2020	Desember	Kerong-Kerong (Jarbua terapon)	0
2020	Desember	Layur (Hairtail fishes)	-
2020	Desember	Pari (Rays)	1.431
2020	Desember	Ekor Kuning (Yellow tail)	5
2020	Desember	Kerapu (Grouper)	107
2020	Desember	Beronang (Spotted spinefoot)	17
2020	Desember	" Udang 
Jerbung"	236
2020	Desember	Udang Krosok (Tiger cat shrimp)	1.960
2020	Desember	Rajungan (Swimming crabs)	7.099
2020	Desember	Cumi-cumi (Common squids)	11.230
2020	Desember	Sotong (Cuttle fish)	2.707
2020	Desember	Gurita (Octopuses)	168
2020	Desember	Udang lainnya (Other shrimps)	3.659
2020	Desember	Ikan Lainnya (Others)	553
2021	Januari	Teri (Anchovy)	24.897
2021	Januari	Teri Nasi (Anchovies)	-
2021	Januari	Belanak (Mullets)	503
2021	Januari	Bentong (Oxeye scad)	395
2021	Januari	Cendro (Needle fish)	139
2021	Januari	Talang-Talang (Queen fish)	13
2021	Januari	Ikan Terbang (Flying fish)	-
2021	Januari	Japuh (Rainbow sardine)	225
2021	Januari	Kembung (Indian mackerels)	9.781
2021	Januari	Layang (Scads)	1.222
2021	Januari	Siro/Lemuru (Spotted sardinella)	543
2021	Januari	Selar (Trevallies)	151
2021	Januari	Tembang (Fringescale sardinella)	90.179
2021	Januari	Selanget (Chacunda gizzard shad)	4.292
2021	Januari	Tetengkek (Torpedo scad)	91
2021	Januari	Semar (Mene maculata)	1.132
2021	Januari	Tongkol (Frigate tuna)	1.481
2021	Januari	Layaran (Indo-pacific sailfish)	71
2021	Januari	Tenggiri (Narrow barred king mackerel)	6.489
2021	Januari	Cucut (Sharks)	77
2021	Januari	Manyung (Sea-cat fishes)	1.004
2021	Januari	Sebelah (Croaker)	895
2021	Januari	Kuwe (Great trevally)	1.485
2021	Januari	Bawal Hitam (Black pomfret)	2
2021	Januari	Bawal Putih (White pomfret)	0
2021	Januari	Golok-Golok (Dorab Wolf Hering)	24
2021	Januari	Beloso (Lizard fishes)	1.069
2021	Januari	Gerot-gerot (Saddle grunt)	38
2021	Januari	Peperek (Pony fishes)	51.752
2021	Januari	Kakap Putih (Giant Perach)	34
2021	Januari	Kakap Merah (Red Snapper)	286
2021	Januari	Jenaha (Snapper)	628
2021	Januari	Kurisi (Threadfin bream)	673
2021	Januari	Kuniran (Sulphur goatfish)	14.264
2021	Januari	Kuro (Giant threadfish)	1.152
2021	Januari	Samgeh (Croackers)	1.121
2021	Januari	Alu-alu (Barracuda)	5.533
2021	Januari	Kerong-Kerong (Jarbua terapon)	20
2021	Januari	Layur (Hairtail fishes)	4.458
2021	Januari	Pari (Rays)	1.406
2021	Januari	Ekor Kuning (Yellow tail)	429
2021	Januari	Kerapu (Grouper)	419
2021	Januari	Beronang (Spotted spinefoot)	1
2021	Januari	" Udang 
Jerbung"	631
2021	Januari	Udang Krosok (Tiger cat shrimp)	770
2021	Januari	Rajungan (Swimming crabs)	7.750
2021	Januari	Cumi-cumi (Common squids)	11.838
2021	Januari	Sotong (Cuttle fish)	1.557
2021	Januari	Gurita (Octopuses)	261
2021	Januari	Udang lainnya (Other shrimps)	1.616
2021	Januari	"Udang Dogol (Metapenaeus 
monoceros)"	71
2021	Januari	" Sembilang  Euristhmus 
microceps"	221
2021	Januari	"Udang Kipas Tenus 
Orientalis"	-
2021	Januari	" Ikan 
LainnyaOthers"	221
2021	Februari	Teri (Anchovy)	1.431
2021	Februari	Teri Nasi (Anchovies)	-
2021	Februari	Belanak (Mullets)	17
2021	Februari	Bentong (Oxeye scad)	89
2021	Februari	Cendro (Needle fish)	44
2021	Februari	Talang-Talang (Queen fish)	1
2021	Februari	Ikan Terbang (Flying fish)	-
2021	Februari	Japuh (Rainbow sardine)	2.500
2021	Februari	Kembung (Indian mackerels)	7.270
2021	Februari	Layang (Scads)	2
2021	Februari	Siro/Lemuru (Spotted sardinella)	896
2021	Februari	Selar (Trevallies)	169
2021	Februari	Tembang (Fringescale sardinella)	185.451
2021	Februari	Selanget (Chacunda gizzard shad)	2.186
2021	Februari	Tetengkek (Torpedo scad)	58
2021	Februari	Semar (Mene maculata)	109
2021	Februari	Tongkol (Frigate tuna)	46
2021	Februari	Layaran (Indo-pacific sailfish)	14
2021	Februari	Tenggiri (Narrow barred king mackerel)	2.913
2021	Februari	Cucut (Sharks)	1
2021	Februari	Manyung (Sea-cat fishes)	683
2021	Februari	Sebelah (Croaker)	1.069
2021	Februari	Kuwe (Great trevally)	423
2021	Februari	Bawal Hitam (Black pomfret)	-
2021	Februari	Bawal Putih (White pomfret)	-
2021	Februari	Golok-Golok (Dorab Wolf Hering)	197
2021	Februari	Beloso (Lizard fishes)	1.177
2021	Februari	Gerot-gerot (Saddle grunt)	-
2021	Februari	Peperek (Pony fishes)	25.566
2021	Februari	Kakap Putih (Giant Perach)	36
2021	Februari	Kakap Merah (Red Snapper)	40
2021	Februari	Jenaha (Snapper)	42
2021	Februari	Kurisi (Threadfin bream)	8
2021	Februari	Kuniran (Sulphur goatfish)	12.623
2021	Februari	Kuro (Giant threadfish)	263
2021	Februari	Samgeh (Croackers)	747
2021	Februari	Alu-alu (Barracuda)	7.353
2021	Februari	Kerong-Kerong (Jarbua terapon)	-
2021	Februari	Layur (Hairtail fishes)	5.137
2021	Februari	Pari (Rays)	968
2021	Februari	Ekor Kuning (Yellow tail)	99
2021	Februari	Kerapu (Grouper)	195
2021	Februari	Beronang (Spotted spinefoot)	49
2021	Februari	" Udang 
Jerbung"	715
2021	Februari	Udang Krosok (Tiger cat shrimp)	124
2021	Februari	Rajungan (Swimming crabs)	8.284
2021	Februari	Cumi-cumi (Common squids)	2.776
2021	Februari	Sotong (Cuttle fish)	977
2021	Februari	Gurita (Octopuses)	169
2021	Februari	Udang lainnya (Other shrimps)	689
2021	Februari	"Udang Dogol (Metapenaeus 
monoceros)"	-
2021	Februari	" Sembilang  Euristhmus 
microceps"	275
2021	Februari	"Udang Kipas Tenus 
Orientalis"	13
2021	Februari	" Ikan 
LainnyaOthers"	84
2021	Maret	Teri (Anchovy)	23.916
2021	Maret	Teri Nasi (Anchovies)	18
2021	Maret	Belanak (Mullets)	893
2021	Maret	Bentong (Oxeye scad)	26
2021	Maret	Cendro (Needle fish)	123
2021	Maret	Talang-Talang (Queen fish)	92
2021	Maret	Ikan Terbang (Flying fish)	8
2021	Maret	Japuh (Rainbow sardine)	5.698
2021	Maret	Kembung (Indian mackerels)	17.517
2021	Maret	Layang (Scads)	383
2021	Maret	Siro/Lemuru (Spotted sardinella)	2.791
2021	Maret	Selar (Trevallies)	9.257
2021	Maret	Tembang (Fringescale sardinella)	6.979
2021	Maret	Selanget (Chacunda gizzard shad)	5.877
2021	Maret	Tetengkek (Torpedo scad)	358
2021	Maret	Semar (Mene maculata)	263
2021	Maret	Tongkol (Frigate tuna)	2.179
2021	Maret	Layaran (Indo-pacific sailfish)	108
2021	Maret	Tenggiri (Narrow barred king mackerel)	5.233
2021	Maret	Cucut (Sharks)	100
2021	Maret	Manyung (Sea-cat fishes)	842
2021	Maret	Sebelah (Croaker)	1.005
2021	Maret	Kuwe (Great trevally)	1.031
2021	Maret	Bawal Hitam (Black pomfret)	7
2021	Maret	Bawal Putih (White pomfret)	7
2021	Maret	Golok-Golok (Dorab Wolf Hering)	387
2021	Maret	Beloso (Lizard fishes)	912
2021	Maret	Gerot-gerot (Saddle grunt)	79
2021	Maret	Peperek (Pony fishes)	42.798
2021	Maret	Kakap Putih (Giant Perach)	72
2021	Maret	Kakap Merah (Red Snapper)	77
2021	Maret	Jenaha (Snapper)	73
2021	Maret	Kurisi (Threadfin bream)	456
2021	Maret	Kuniran (Sulphur goatfish)	12.848
2021	Maret	Kuro (Giant threadfish)	197
2021	Maret	Samgeh (Croackers)	525
2021	Maret	Alu-alu (Barracuda)	2.678
2021	Maret	Kerong-Kerong (Jarbua terapon)	163
2021	Maret	Layur (Hairtail fishes)	6.446
2021	Maret	Pari (Rays)	1.659
2021	Maret	Ekor Kuning (Yellow tail)	328
2021	Maret	Kerapu (Grouper)	137
2021	Maret	Beronang (Spotted spinefoot)	-
2021	Maret	" Udang 
Jerbung"	1.816
2021	Maret	Udang Krosok (Tiger cat shrimp)	101
2021	Maret	Rajungan (Swimming crabs)	10.330
2021	Maret	Cumi-cumi (Common squids)	19.577
2021	Maret	Sotong (Cuttle fish)	753
2021	Maret	Gurita (Octopuses)	61
2021	Maret	Udang lainnya (Other shrimps)	4.935
2021	Maret	"Udang Dogol (Metapenaeus 
monoceros)"	-
2021	Maret	" Sembilang  Euristhmus 
microceps"	986
2021	Maret	"Udang Kipas Tenus 
Orientalis"	492
2021	Maret	" Ikan 
LainnyaOthers"	181
2021	April	Teri (Anchovy)	18.551
2021	April	Teri Nasi (Anchovies)	9
2021	April	Belanak (Mullets)	698
2021	April	Bentong (Oxeye scad)	52
2021	April	Cendro (Needle fish)	184
2021	April	Talang-Talang (Queen fish)	531
2021	April	Ikan Terbang (Flying fish)	-
2021	April	Japuh (Rainbow sardine)	3.802
2021	April	Kembung (Indian mackerels)	19.649
2021	April	Layang (Scads)	103
2021	April	Siro/Lemuru (Spotted sardinella)	824
2021	April	Selar (Trevallies)	6.718
2021	April	Tembang (Fringescale sardinella)	12.728
2021	April	Selanget (Chacunda gizzard shad)	1.020
2021	April	Tetengkek (Torpedo scad)	1.247
2021	April	Semar (Mene maculata)	1.314
2021	April	Tongkol (Frigate tuna)	542
2021	April	Layaran (Indo-pacific sailfish)	137
2021	April	Tenggiri (Narrow barred king mackerel)	4.508
2021	April	Cucut (Sharks)	116
2021	April	Manyung (Sea-cat fishes)	1.376
2021	April	Sebelah (Croaker)	461
2021	April	Kuwe (Great trevally)	793
2021	April	Bawal Hitam (Black pomfret)	9
2021	April	Bawal Putih (White pomfret)	0
2021	April	Golok-Golok (Dorab Wolf Hering)	242
2021	April	Beloso (Lizard fishes)	451
2021	April	Gerot-gerot (Saddle grunt)	50
2021	April	Peperek (Pony fishes)	34.715
2021	April	Kakap Putih (Giant Perach)	162
2021	April	Kakap Merah (Red Snapper)	47
2021	April	Jenaha (Snapper)	109
2021	April	Kurisi (Threadfin bream)	590
2021	April	Kuniran (Sulphur goatfish)	14.287
2021	April	Kuro (Giant threadfish)	4
2021	April	Samgeh (Croackers)	670
2021	April	Alu-alu (Barracuda)	356
2021	April	Kerong-Kerong (Jarbua terapon)	22
2021	April	Layur (Hairtail fishes)	4.089
2021	April	Pari (Rays)	995
2021	April	Ekor Kuning (Yellow tail)	139
2021	April	Kerapu (Grouper)	141
2021	April	Beronang (Spotted spinefoot)	28
2021	April	" Udang 
Jerbung"	1.477
2021	April	Udang Krosok (Tiger cat shrimp)	2.372
2021	April	Rajungan (Swimming crabs)	6.074
2021	April	Cumi-cumi (Common squids)	16.680
2021	April	Sotong (Cuttle fish)	822
2021	April	Gurita (Octopuses)	148
2021	April	Udang lainnya (Other shrimps)	2.990
2021	April	"Udang Dogol (Metapenaeus 
monoceros)"	379
2021	April	" Sembilang  Euristhmus 
microceps"	569
2021	April	"Udang Kipas Tenus 
Orientalis"	464
2021	April	" Ikan 
LainnyaOthers"	188
2021	Mei	Teri (Anchovy)	36.360
2021	Mei	Teri Nasi (Anchovies)	-
2021	Mei	Belanak (Mullets)	756
2021	Mei	Bentong (Oxeye scad)	508
2021	Mei	Cendro (Needle fish)	420
2021	Mei	Talang-Talang (Queen fish)	484
2021	Mei	Ikan Terbang (Flying fish)	10
2021	Mei	Japuh (Rainbow sardine)	2.042
2021	Mei	Kembung (Indian mackerels)	18.060
2021	Mei	Layang (Scads)	804
2021	Mei	Siro/Lemuru (Spotted sardinella)	1.832
2021	Mei	Selar (Trevallies)	3.266
2021	Mei	Tembang (Fringescale sardinella)	8.854
2021	Mei	Selanget (Chacunda gizzard shad)	1.543
2021	Mei	Tetengkek (Torpedo scad)	394
2021	Mei	Semar (Mene maculata)	2.468
2021	Mei	Tongkol (Frigate tuna)	4.575
2021	Mei	Layaran (Indo-pacific sailfish)	-
2021	Mei	Tenggiri (Narrow barred king mackerel)	942
2021	Mei	Cucut (Sharks)	34
2021	Mei	Manyung (Sea-cat fishes)	534
2021	Mei	Sebelah (Croaker)	391
2021	Mei	Kuwe (Great trevally)	344
2021	Mei	Bawal Hitam (Black pomfret)	-
2021	Mei	Bawal Putih (White pomfret)	-
2021	Mei	Golok-Golok (Dorab Wolf Hering)	67
2021	Mei	Beloso (Lizard fishes)	1.110
2021	Mei	Gerot-gerot (Saddle grunt)	134
2021	Mei	Peperek (Pony fishes)	43.041
2021	Mei	Kakap Putih (Giant Perach)	100
2021	Mei	Kakap Merah (Red Snapper)	128
2021	Mei	Jenaha (Snapper)	129
2021	Mei	Kurisi (Threadfin bream)	821
2021	Mei	Kuniran (Sulphur goatfish)	13.117
2021	Mei	Kuro (Giant threadfish)	13
2021	Mei	Samgeh (Croackers)	183
2021	Mei	Alu-alu (Barracuda)	264
2021	Mei	Kerong-Kerong (Jarbua terapon)	82
2021	Mei	Layur (Hairtail fishes)	4.327
2021	Mei	Pari (Rays)	794
2021	Mei	Ekor Kuning (Yellow tail)	71
2021	Mei	Kerapu (Grouper)	84
2021	Mei	Beronang (Spotted spinefoot)	54
2021	Mei	" Udang 
Jerbung"	1.098
2021	Mei	Udang Krosok (Tiger cat shrimp)	2.959
2021	Mei	Rajungan (Swimming crabs)	5.544
2021	Mei	Cumi-cumi (Common squids)	19.815
2021	Mei	Sotong (Cuttle fish)	780
2021	Mei	Gurita (Octopuses)	-
2021	Mei	Udang lainnya (Other shrimps)	5.755
2021	Mei	"Udang Dogol (Metapenaeus 
monoceros)"	286
2021	Mei	" Sembilang  Euristhmus 
microceps"	516
2021	Mei	"Udang Kipas Tenus 
Orientalis"	407
2021	Mei	" Ikan 
LainnyaOthers"	128
2021	Juni	Teri (Anchovy)	44.745
2021	Juni	Teri Nasi (Anchovies)	482
2021	Juni	Belanak (Mullets)	680
2021	Juni	Bentong (Oxeye scad)	434
2021	Juni	Cendro (Needle fish)	57
2021	Juni	Talang-Talang (Queen fish)	371
2021	Juni	Ikan Terbang (Flying fish)	-
2021	Juni	Japuh (Rainbow sardine)	677
2021	Juni	Kembung (Indian mackerels)	13.376
2021	Juni	Layang (Scads)	2.826
2021	Juni	Siro/Lemuru (Spotted sardinella)	3.054
2021	Juni	Selar (Trevallies)	3.212
2021	Juni	Tembang (Fringescale sardinella)	27.662
2021	Juni	Selanget (Chacunda gizzard shad)	3.325
2021	Juni	Tetengkek (Torpedo scad)	969
2021	Juni	Semar (Mene maculata)	7.929
2021	Juni	Tongkol (Frigate tuna)	13.789
2021	Juni	Layaran (Indo-pacific sailfish)	27
2021	Juni	Tenggiri (Narrow barred king mackerel)	813
2021	Juni	Cucut (Sharks)	46
2021	Juni	Manyung (Sea-cat fishes)	817
2021	Juni	Sebelah (Croaker)	565
2021	Juni	Kuwe (Great trevally)	208
2021	Juni	Bawal Hitam (Black pomfret)	15
2021	Juni	Bawal Putih (White pomfret)	5
2021	Juni	Golok-Golok (Dorab Wolf Hering)	220
2021	Juni	Beloso (Lizard fishes)	970
2021	Juni	Gerot-gerot (Saddle grunt)	158
2021	Juni	Peperek (Pony fishes)	43.995
2021	Juni	Kakap Putih (Giant Perach)	32
2021	Juni	Kakap Merah (Red Snapper)	23
2021	Juni	Jenaha (Snapper)	32
2021	Juni	Kurisi (Threadfin bream)	1.116
2021	Juni	Kuniran (Sulphur goatfish)	26.405
2021	Juni	Kuro (Giant threadfish)	5
2021	Juni	Samgeh (Croackers)	201
2021	Juni	Alu-alu (Barracuda)	157
2021	Juni	Kerong-Kerong (Jarbua terapon)	22
2021	Juni	Layur (Hairtail fishes)	5.981
2021	Juni	Pari (Rays)	1.016
2021	Juni	Ekor Kuning (Yellow tail)	259
2021	Juni	Kerapu (Grouper)	16
2021	Juni	Beronang (Spotted spinefoot)	5
2021	Juni	" Udang 
Jerbung"	1.484
2021	Juni	Udang Krosok (Tiger cat shrimp)	5.572
2021	Juni	Rajungan (Swimming crabs)	5.892
2021	Juni	Cumi-cumi (Common squids)	9.480
2021	Juni	Sotong (Cuttle fish)	1.077
2021	Juni	Gurita (Octopuses)	133
2021	Juni	Udang lainnya (Other shrimps)	9.678
2021	Juni	"Udang Dogol (Metapenaeus 
monoceros)"	108
2021	Juni	" Sembilang  Euristhmus 
microceps"	390
2021	Juni	"Udang Kipas Tenus 
Orientalis"	440
2021	Juni	" Ikan 
LainnyaOthers"	7
2021	Juli	Teri (Anchovy)	19.694
2021	Juli	Teri Nasi (Anchovies)	127
2021	Juli	Belanak (Mullets)	566
2021	Juli	Bentong (Oxeye scad)	204
2021	Juli	Cendro (Needle fish)	83
2021	Juli	Talang-Talang (Queen fish)	72
2021	Juli	Ikan Terbang (Flying fish)	9
2021	Juli	Japuh (Rainbow sardine)	2.384
2021	Juli	Kembung (Indian mackerels)	8.842
2021	Juli	Layang (Scads)	481
2021	Juli	Siro/Lemuru (Spotted sardinella)	808
2021	Juli	Selar (Trevallies)	1.044
2021	Juli	Tembang (Fringescale sardinella)	9.643
2021	Juli	Selanget (Chacunda gizzard shad)	3.951
2021	Juli	Tetengkek (Torpedo scad)	1.019
2021	Juli	Semar (Mene maculata)	991
2021	Juli	Tongkol (Frigate tuna)	723
2021	Juli	Layaran (Indo-pacific sailfish)	11
2021	Juli	Tenggiri (Narrow barred king mackerel)	1.004
2021	Juli	Cucut (Sharks)	44
2021	Juli	Manyung (Sea-cat fishes)	620
2021	Juli	Sebelah (Croaker)	586
2021	Juli	Kuwe (Great trevally)	275
2021	Juli	Bawal Hitam (Black pomfret)	-
2021	Juli	Bawal Putih (White pomfret)	13
2021	Juli	Golok-Golok (Dorab Wolf Hering)	242
2021	Juli	Beloso (Lizard fishes)	1.522
2021	Juli	Gerot-gerot (Saddle grunt)	33
2021	Juli	Peperek (Pony fishes)	35.865
2021	Juli	Kakap Putih (Giant Perach)	52
2021	Juli	Kakap Merah (Red Snapper)	133
2021	Juli	Jenaha (Snapper)	36
2021	Juli	Kurisi (Threadfin bream)	964
2021	Juli	Kuniran (Sulphur goatfish)	23.340
2021	Juli	Kuro (Giant threadfish)	46
2021	Juli	Samgeh (Croackers)	99
2021	Juli	Alu-alu (Barracuda)	-
2021	Juli	Kerong-Kerong (Jarbua terapon)	6
2021	Juli	Layur (Hairtail fishes)	4.947
2021	Juli	Pari (Rays)	858
2021	Juli	Ekor Kuning (Yellow tail)	770
2021	Juli	Kerapu (Grouper)	76
2021	Juli	Beronang (Spotted spinefoot)	242
2021	Juli	" Udang 
Jerbung"	283
2021	Juli	Udang Krosok (Tiger cat shrimp)	3.997
2021	Juli	Rajungan (Swimming crabs)	6.875
2021	Juli	Cumi-cumi (Common squids)	9.896
2021	Juli	Sotong (Cuttle fish)	1.248
2021	Juli	Gurita (Octopuses)	181
2021	Juli	Udang lainnya (Other shrimps)	5.866
2021	Juli	"Udang Dogol (Metapenaeus 
monoceros)"	28
2021	Juli	" Sembilang  Euristhmus 
microceps"	619
2021	Juli	"Udang Kipas Tenus 
Orientalis"	484
2021	Juli	" Ikan 
LainnyaOthers"	423
2021	Agustus	Teri (Anchovy)	27.315
2021	Agustus	Teri Nasi (Anchovies)	-
2021	Agustus	Belanak (Mullets)	1.028
2021	Agustus	Bentong (Oxeye scad)	137
2021	Agustus	Cendro (Needle fish)	127
2021	Agustus	Talang-Talang (Queen fish)	1.273
2021	Agustus	Ikan Terbang (Flying fish)	9
2021	Agustus	Japuh (Rainbow sardine)	1.084
2021	Agustus	Kembung (Indian mackerels)	9.386
2021	Agustus	Layang (Scads)	574
2021	Agustus	Siro/Lemuru (Spotted sardinella)	448
2021	Agustus	Selar (Trevallies)	2.032
2021	Agustus	Tembang (Fringescale sardinella)	7.647
2021	Agustus	Selanget (Chacunda gizzard shad)	3.499
2021	Agustus	Tetengkek (Torpedo scad)	794
2021	Agustus	Semar (Mene maculata)	1.407
2021	Agustus	Tongkol (Frigate tuna)	2.937
2021	Agustus	Layaran (Indo-pacific sailfish)	5
2021	Agustus	Tenggiri (Narrow barred king mackerel)	1.294
2021	Agustus	Cucut (Sharks)	238
2021	Agustus	Manyung (Sea-cat fishes)	230
2021	Agustus	Sebelah (Croaker)	784
2021	Agustus	Kuwe (Great trevally)	1.462
2021	Agustus	Bawal Hitam (Black pomfret)	-
2021	Agustus	Bawal Putih (White pomfret)	-
2021	Agustus	Golok-Golok (Dorab Wolf Hering)	716
2021	Agustus	Beloso (Lizard fishes)	2.283
2021	Agustus	Gerot-gerot (Saddle grunt)	6
2021	Agustus	Peperek (Pony fishes)	38.317
2021	Agustus	Kakap Putih (Giant Perach)	70
2021	Agustus	Kakap Merah (Red Snapper)	126
2021	Agustus	Jenaha (Snapper)	149
2021	Agustus	Kurisi (Threadfin bream)	1.065
2021	Agustus	Kuniran (Sulphur goatfish)	34.635
2021	Agustus	Kuro (Giant threadfish)	232
2021	Agustus	Samgeh (Croackers)	270
2021	Agustus	Alu-alu (Barracuda)	28
2021	Agustus	Kerong-Kerong (Jarbua terapon)	33
2021	Agustus	Layur (Hairtail fishes)	6.297
2021	Agustus	Pari (Rays)	1.321
2021	Agustus	Ekor Kuning (Yellow tail)	757
2021	Agustus	Kerapu (Grouper)	81
2021	Agustus	Beronang (Spotted spinefoot)	7
2021	Agustus	" Udang 
Jerbung"	648
2021	Agustus	Udang Krosok (Tiger cat shrimp)	4.978
2021	Agustus	Rajungan (Swimming crabs)	6.818
2021	Agustus	Cumi-cumi (Common squids)	12.677
2021	Agustus	Sotong (Cuttle fish)	2.057
2021	Agustus	Gurita (Octopuses)	358
2021	Agustus	Udang lainnya (Other shrimps)	5.747
2021	Agustus	"Udang Dogol (Metapenaeus 
monoceros)"	6
2021	Agustus	" Sembilang  Euristhmus 
microceps"	-
2021	Agustus	"Udang Kipas Tenus 
Orientalis"	535
2021	Agustus	" Ikan 
LainnyaOthers"	416
2021	September	Teri (Anchovy)	14.481
2021	September	Teri Nasi (Anchovies)	-
2021	September	Belanak (Mullets)	1.735
2021	September	Bentong (Oxeye scad)	66
2021	September	Cendro (Needle fish)	222
2021	September	Talang-Talang (Queen fish)	1.892
2021	September	Ikan Terbang (Flying fish)	68
2021	September	Japuh (Rainbow sardine)	2.082
2021	September	Kembung (Indian mackerels)	14.295
2021	September	Layang (Scads)	248
2021	September	Siro/Lemuru (Spotted sardinella)	529
2021	September	Selar (Trevallies)	3.449
2021	September	Tembang (Fringescale sardinella)	5.827
2021	September	Selanget (Chacunda gizzard shad)	2.855
2021	September	Tetengkek (Torpedo scad)	516
2021	September	Semar (Mene maculata)	694
2021	September	Tongkol (Frigate tuna)	1.644
2021	September	Layaran (Indo-pacific sailfish)	11
2021	September	Tenggiri (Narrow barred king mackerel)	889
2021	September	Cucut (Sharks)	45
2021	September	Manyung (Sea-cat fishes)	565
2021	September	Sebelah (Croaker)	2.545
2021	September	Kuwe (Great trevally)	870
2021	September	Bawal Hitam (Black pomfret)	-
2021	September	Bawal Putih (White pomfret)	4
2021	September	Golok-Golok (Dorab Wolf Hering)	45
2021	September	Beloso (Lizard fishes)	2.535
2021	September	Gerot-gerot (Saddle grunt)	0
2021	September	Peperek (Pony fishes)	52.208
2021	September	Kakap Putih (Giant Perach)	11
2021	September	Kakap Merah (Red Snapper)	51
2021	September	Jenaha (Snapper)	48
2021	September	Kurisi (Threadfin bream)	2.634
2021	September	Kuniran (Sulphur goatfish)	34.501
2021	September	Kuro (Giant threadfish)	52
2021	September	Samgeh (Croackers)	549
2021	September	Alu-alu (Barracuda)	-
2021	September	Kerong-Kerong (Jarbua terapon)	14
2021	September	Layur (Hairtail fishes)	13.670
2021	September	Pari (Rays)	2.918
2021	September	Ekor Kuning (Yellow tail)	388
2021	September	Kerapu (Grouper)	125
2021	September	Beronang (Spotted spinefoot)	22
2021	September	" Udang 
Jerbung"	1.060
2021	September	Udang Krosok (Tiger cat shrimp)	3.923
2021	September	Rajungan (Swimming crabs)	6.523
2021	September	Cumi-cumi (Common squids)	11.175
